id,titulo,precio_usd,precio_web_ars,precio_ml,envio_gratis,neto_estimado,margen,corregido_si_no
1,Moneda Argentina 1/2 Real 1815,130.0,200200.0,264000,si,221760.0,21560.0,no
7,Moneda Argentina 2 Reales 1860,9.0,13860.0,20000,no,16800.0,2940.0,no
8,Moneda Argentina 2 Reales 1854,13.0,20020.0,28000,no,23520.0,3500.0,no
9,Moneda Francia 10 Francos 1965,70.0,107800.0,133000,no,111720.0,3920.0,no
14,Moneda Argentina 2 Centavos 1884,3.0,4620.0,9000,no,7560.0,2940.0,no
17,Moneda Argentina 2 Centavos 1885,16.0,24640.0,33000,no,27720.0,3080.0,no
18,Moneda Argentina 2 Centavos 1890,2.5,3850.0,8000,no,6720.0,2870.0,no
19,Moneda Argentina 2 Centavos 1891,3.0,4620.0,9000,no,7560.0,2940.0,no
26,Moneda México Troy Ounce 2021,100.0,154000.0,208000,si,174720.0,20720.0,no
28,Moneda Estados Unidos Cent 1863,25.0,38500.0,50000,no,42000.0,3500.0,no
29,Moneda Estados Unidos Cent 1861,45.0,69300.0,87000,no,73080.0,3780.0,no
30,Moneda Estados Unidos Cent 1864,20.0,30800.0,40000,no,33600.0,2800.0,no
32,Moneda Estados Unidos Cent 1860,20.0,30800.0,40000,no,33600.0,2800.0,no
34,Moneda Argentina 20 Centavos 1931,15.0,23100.0,31000,no,26040.0,2940.0,no
38,Moneda Argentina Centavo 1885,6.0,9240.0,15000,no,12600.0,3360.0,no
39,Moneda Argentina 5 Centavos 1914,8.0,12320.0,18000,no,15120.0,2800.0,no
40,Moneda Argentina 10 Centavos 1931,10.0,15400.0,22000,no,18480.0,3080.0,no
43,Moneda Argentina Centavo 1886,9.0,13860.0,20000,no,16800.0,2940.0,no
49,Moneda Argentina 5 Centavos 1916,6.0,9240.0,15000,no,12600.0,3360.0,no
50,Moneda Argentina Centavo 1895,15.0,23100.0,31000,no,26040.0,2940.0,no
51,Moneda Argentina Centavo 1895,15.0,23100.0,31000,no,26040.0,2940.0,no
55,Moneda Uruguay Peso 1942,16.0,24640.0,33000,no,27720.0,3080.0,no
66,Moneda Token Porsche 2001,10.0,15400.0,22000,no,18480.0,3080.0,no
72,Moneda Zambia 25 Ngwee 1992,3.5,5390.0,10000,no,8400.0,3010.0,no
89,Moneda Brasil 1000 Réis 1910,22.0,33880.0,44000,no,36960.0,3080.0,no
90,Moneda Rusia 10 Rublos 2014,4.0,6160.0,11000,no,9240.0,3080.0,no
91,Moneda Egipto 50 Piastres 2019,4.0,6160.0,11000,no,9240.0,3080.0,no
99,Moneda Reino Unido Penny 1862,8.0,12320.0,18000,no,15120.0,2800.0,no
101,Moneda Argentina 2 Centavos 1895,4.0,6160.0,11000,no,9240.0,3080.0,no
104,Moneda Argentina 5 Centavos 1934,3.0,4620.0,9000,no,7560.0,2940.0,no
105,Moneda Argentina 20 Centavos 1899,6.0,9240.0,15000,no,12600.0,3360.0,no
107,Moneda Argentina 20 Centavos 1899,30.0,46200.0,59000,no,49560.0,3360.0,no
111,Moneda Argentina 20 Centavos 1936,12.0,18480.0,26000,no,21840.0,3360.0,no
112,Moneda Argentina 20 Centavos 1936,8.0,12320.0,18000,no,15120.0,2800.0,no
113,Moneda Argentina 2 Centavos 1944,20.0,30800.0,40000,no,33600.0,2800.0,no
114,Moneda Argentina 2 Centavos 1950,15.0,23100.0,31000,no,26040.0,2940.0,no
115,Moneda Argentina 2 Centavos 1950,12.0,18480.0,26000,no,21840.0,3360.0,no
128,Moneda Antillas Holandesas Cent 1963,3.5,5390.0,10000,no,8400.0,3010.0,no
135,Moneda África Occidental Francesa 10 Francos 1956,4.0,6160.0,11000,no,9240.0,3080.0,no
136,Moneda India Rupia 2008,4.0,6160.0,11000,no,9240.0,3080.0,no
138,Moneda Bolivia 10 Centavos 1883,8.0,12320.0,18000,no,15120.0,2800.0,no
140,Moneda Uruguay Peso 1942,14.0,21560.0,29000,no,24360.0,2800.0,no
144,Moneda Guatemala 25 Centavos 1960,15.0,23100.0,31000,no,26040.0,2940.0,no
146,Moneda Argentina 2 Centavos 1896,10.0,15400.0,22000,no,18480.0,3080.0,no
