publicacion_id,sku,titulo,marca,modelo,origen_modelo,variantes_en_familia
MLA2067296865,507,Moneda Argentina 1 Peso 1997,Genérica,CJ# 6.5,referencia,1
MLA2067296869,391,Moneda Perú 1 Sol 2017,Genérica,1 Sol,valor facial (referencias distintas),3
MLA2067296871,99,Moneda Reino Unido Penny 1862,Genérica,KM# 749.2,referencia,1
MLA2067296877,939,Moneda Colombia 5 Centavos 1935,Genérica,KM# 192.1,referencia,1
MLA2067296879,812,Moneda Portugal 100 Réis 1900,Genérica,KM# 546,referencia,1
MLA2067296883,342,Moneda República Dominicana Centavos 1986,Genérica,KM# 64,referencia,1
MLA2067296887,876,Moneda Dinamarca 20 Kroner 1991,Genérica,KM# 871,referencia,1
MLA2067296889,1195,Moneda Reino Unido 20 Pence 2006,Genérica,KM# 990,referencia,1
MLA2067296891,723,Moneda Chile 2 Centésimos 1967,Genérica,KM# 193,referencia,1
MLA2067296893,746,Moneda Argentina 10 Centavos 1935,Genérica,CJ# 122,referencia,2
MLA2067296897,750,Moneda Argentina 10 Centavos 1916,Genérica,CJ# 105,referencia,1
MLA2067296899,1241,Moneda Canadá 25 Cents Día Del Recuerdo (amapola) 2004,Genérica,KM# 510,referencia,1
MLA2067296901,1246,Moneda Canadá 1 Dólar Centenario De Columbia Británica 1971,Genérica,KM# 79,referencia,1
MLA2067296903,38,Moneda Argentina Centavo 1885,Genérica,CJ# 41,referencia,1
MLA2067296907,629,Moneda Argentina 2 Centavos 1939,Genérica,CJ# 174,referencia,3
MLA2067296909,588,Moneda Países Bajos Cent 1884,Genérica,KM# 107.1,referencia,1
MLA2067296911,944,Moneda Croacia 20 Lipa 1995,Genérica,KM# 12,referencia,1
MLA2067296913,603,Moneda Estados Unidos Onza Ms70 Certificada 2017,Genérica,KM# 273,referencia,1
MLA2067296917,363,Moneda Yugoslavia 20 Para 1976,Genérica,KM# 45,referencia,1
MLA2067296919,1265,Moneda Isla De Pascua 1 Peso Moai (aluminio) 2021,Genérica,1 Peso Moai (Aluminio),valor facial (sin referencia),1
MLA2067296921,755,Moneda Argentina 10 Centavos 1907,Genérica,CJ# 96,referencia,1
MLA2067296923,1011,Moneda Reino Unido Farthing 1938,Genérica,KM# 843,referencia,1
